Date,Open,High,Low,Close,Volume
2025-07-03,288.2,292.32,287.9,291.97,1853289
2025-07-07,292.26,295.2199,290.3607,292.47,4488064
2025-07-08,293.1,295.61,289.49,290.42,2925329
2025-07-09,291.39,291.6,288.63,290.14,2971309
2025-07-10,288.9,288.9,282.21,287.43,3489068
2025-07-11,285.01,287.43,282.92,283.59,3790679
2025-07-14,282.83,284.925,281.71,283.79,2857401
2025-07-15,283.79,284.155,280.7301,282.7,2864106
2025-07-16,282.75,283.87,279.87,281.92,2804831
2025-07-17,281.49,283.4566,280.9,282,3337168
2025-07-18,283.32,287.16,282.22,285.87,4478165
2025-07-21,286.29,287.73,284.38,284.71,3051791
2025-07-22,284.74,284.88,281.25,281.96,4824219
2025-07-23,284.3,288.08,281.44,282.01,8105906
2025-07-24,261.25,262.0486,252.75,260.51,22647720
2025-07-25,260.01,260.8,256.35,259.72,7758653
2025-07-28,260.3,264,259.61,263.21,5192516
2025-07-29,264.3,265.7999,261.02,262.41,4627265
2025-07-30,261.6,262,258.9,260.26,3718290
2025-07-31,259.57,259.99,252.22,253.15,6739092
2025-08-01,251.405,251.4791,245.61,250.05,9683404
2025-08-04,251.05,252.08,248.11,251.98,5280588
2025-08-05,252,252.8,248.995,250.67,5823016
2025-08-06,251.53,254.32,249.28,252.28,3692105
2025-08-07,252.81,255,248.875,250.16,6251285
2025-08-08,248.635,249.48,241.65,242.27,6828390
2025-08-11,242.24,243.15,234.7,236.3,9381960
2025-08-12,237.8,237.96,233.36,234.77,8800597
2025-08-13,236.205,240.8411,236.2,240.07,5663562
2025-08-14,238.25,239,235.62,237.11,4556725
2025-08-15,237.61,240.62,236.77,239.72,4344322
2025-08-18,239.57,241.42,239.1158,239.45,3569594
2025-08-19,240,242.83,239.49,241.28,3328305
2025-08-20,242.25,242.88,240.34,242.55,3240064
2025-08-21,242.21,242.5,238.65,239.4,2991902
2025-08-22,240.74,243.68,240.22,242.09,3134882
2025-08-25,242.565,242.565,239.43,239.43,3513327
2025-08-26,241.39,244.98,240.38,242.63,5386582
2025-08-27,242.75,245.96,242,244.84,3698372
2025-08-28,245.395,245.88,243.36,245.73,2820817
2025-08-29,245.345,245.4599,241.72,243.49,2967558
2025-09-02,240.9,241.55,238.25,241.5,3469501
2025-09-03,240.02,244.25,239.41,244.1,3163225
2025-09-04,244.95,249.28,242.85,247.18,4765087
2025-09-05,248,249.03,245.45,248.53,3147478
2025-09-08,249.015,257.15,247.02,256.09,6940270
2025-09-09,256.4,260.66,254.88,259.11,4931105
2025-09-10,259.65,260.08,254.56,256.88,5185420
2025-09-11,257.56,258.545,255.655,257.01,3576048
2025-09-12,256.8,257.25,252.425,253.44,3433300
2025-09-15,254.02,259.05,254,256.24,4028365
2025-09-16,256.26,258,254.41,257.52,2719918
2025-09-17,257.495,260.9644,257.01,259.08,3974785
2025-09-18,258.94,265.23,256.8004,265,4988421
2025-09-19,266.05,267.87,263.64,266.4,9858112
2025-09-22,266.475,272.31,266,271.37,5030540
2025-09-23,272.7,273.2962,269.265,272.24,5394121
2025-09-24,272.4,273.6499,267.3,267.53,3159924
2025-09-25,272.935,284.23,271.148,281.44,11506192
2025-09-26,280.695,288.85,280.11,284.31,9063938
2025-09-29,285.95,286,279.66,279.8,6022125
2025-09-30,281.005,286.025,280.52,282.16,5926924
2025-10-01,280.54,286.59,280.15,286.49,4381338
2025-10-02,285.79,288.54,282.79,286.72,3814232
2025-10-03,287.55,293.32,287.3,288.37,4375082
2025-10-06,288.675,291.45,287.8,289.42,2881947
2025-10-07,295.515,301.0425,293.285,293.87,7190126
2025-10-08,294,294.2,286.473,289.46,5297030
2025-10-09,289.82,290.13,283.32,288.23,4912375
2025-10-10,288.97,290.385,277.5,277.82,4508506
2025-10-13,279.8,282.4399,274.64,277.22,4333836
2025-10-14,275.52,277.53,272.5469,276.15,3058149
2025-10-15,278.4,285.45,277,280.75,3346753
2025-10-16,281,282.56,275.6,275.97,2956923
2025-10-17,276.15,283.4,275.35,281.28,5309565
2025-10-20,281.25,285.5,280.96,283.65,3494336
2025-10-21,283.31,285.31,281.6,282.05,4080981
2025-10-22,281.99,289.17,281.35,287.51,10538480
2025-10-23,264.95,285.5791,263.5623,285,16676394
2025-10-24,283.77,310.75,282.21,307.46,16914243
2025-10-27,307.8,313.5,302.88,313.09,9868151
2025-10-28,312.22,319.35,311.41,312.57,6044770
2025-10-29,312.79,314.33,307.52,308.21,4135948
2025-10-30,306.52,313.75,305.02,310.06,4694275
2025-10-31,312,313.5,301.63,307.41,7697499
2025-11-03,308,312.1411,304.23,304.73,4957958
2025-11-04,300.01,303.17,296,300.85,5677330
2025-11-05,301,307.2,299.71,306.77,4650368
2025-11-06,306.53,315.44,301.09,312.42,6818521
2025-11-07,310,310,302.6301,306.38,5070773
2025-11-10,306.82,309.94,304.23,309.13,2975188
2025-11-11,309,317.91,308.43,313.72,4381913
2025-11-12,319.89,324.9,314.5324,314.98,6042686
2025-11-13,312.56,314.6,303.68,304.86,5310150
2025-11-14,300,307.72,297.59,305.69,3592455
2025-11-17,305.59,306,296.51,297.17,3909741
2025-11-18,296.52,297,289.92,289.95,4861928
2025-11-19,290.5,291.1099,288.07,288.53,3595912
2025-11-20,294.64,300.71,290.16,290.4,5597028
2025-11-21,293,300.48,291.89,297.44,5710903
2025-11-24,299.18,307.18,297.51,304.12,6050640
2025-11-25,304.125,306,297.06,304.48,2825322
2025-11-26,305.18,306.6,301.64,303.21,2196446
2025-11-28,304,309.18,303.6,308.58,1689031
2025-12-01,306.505,307.12,302.8,305.67,3166555
2025-12-02,307,310.4675,301.57,301.78,4261100
2025-12-03,302.81,303.97,298.905,302.62,3953390
2025-12-04,302.875,309.61,302.54,307.99,2962463
2025-12-05,308.59,311.83,307.18,307.94,2344667
2025-12-08,309.62,315.3454,307.95,309.18,3630157
2025-12-09,309.535,313.97,308.75,310.48,2935669
2025-12-10,310.48,314.69,306.6513,312.67,3411524
2025-12-11,312.095,313.44,308.4,310.74,2755749
2025-12-12,310.42,311.05,303.33,309.24,2953374
2025-12-15,308.985,311.3629,306.35,308.66,3566732
2025-12-16,307.315,307.38,300.42,303.18,3366878
2025-12-17,303.62,306.25,303.08,303.32,3130954
2025-12-18,303.165,304.45,295.7,300.45,5411669
2025-12-19,300.22,306.86,299.1,300.98,11031341
2025-12-22,300.99,303.18,298.32,302.79,2612100
2025-12-23,301.65,305.13,300.65,303.78,2923037
2025-12-24,303.76,305.15,302.3,304.56,1210642
2025-12-26,304.54,305.75,303.665,305.09,2814732
2025-12-29,304.62,310,303.75,305.74,4664711
2025-12-30,305.66,306.235,302,302.05,1883651
2025-12-31,301.85,301.85,295.87,296.21,3430133
